store,rating,title,text,date
apple,5,++++,Best app ever for trading,2026-09-16
apple,1,Grow is cheating i have evidence their system is not good triggering false prices and making to loss,I have the proof my trigger price was 195.40 but market didnt go down it went up but my sl order triggered at 192 and gave me loss,2026-09-16
apple,1,plz Add Remove option in Targeted price.,I Put Target price in Nifty and other Options. & After Some Time it’s trigger. And Then i try to remove my Traget price then i see thare is No Option to remove target price. So plz Add this Futures.,2026-09-16
apple,5,Suggestion for become best Investing App,"Great evolution ,If PEG ,Intrinsic value ,Future growth rate provided .Grow will become the best app",2026-09-16
apple,5,Very Good Application,Good,2026-09-16
apple,5,Best and easiest,One of the best app ..loved it,2026-09-16
apple,5,Good,Good,2026-09-16
apple,5,User friendly experience,Easy to use and monitor the current progress.,2026-09-15
apple,5,Nice,Good,2026-09-15
apple,5,Easy to use,Good for new comers,2026-09-14
apple,5,Good,Easy to use,2026-09-14
apple,5,Groww app,Very nice,2026-09-14
apple,1,I hate this app,This app is very slow in withdrawal and also many charges are applied,2026-09-13
apple,5,Excellent,Good app,2026-09-13
apple,5,Performance of GROWW app,Very good,2026-09-13
apple,5,Investors app,Good app for mutual funds investors,2026-09-13
apple,5,Easy to use,Good,2026-09-13
apple,5,Good,Good,2026-09-13
apple,5,GREAT APP,"Best investing app ever👍 
don’t know about others but it works for me",2026-09-13
apple,5,Good,Best platform for investments,2026-09-13
apple,5,Good,Good n easy investment,2026-09-12
apple,5,"Nice Aplication and easy to understand,handling",My experience is good,2026-09-12
apple,5,100,Good,2026-09-12
apple,5,Good service,Good,2026-09-12
apple,5,Groww is best,"Best App for stocks,mutual funds,IPO etc.",2026-09-12
apple,5,Ok,Ok,2026-09-12
apple,5,App,"User friendly 
Much useful for new entrants",2026-09-12
apple,5,Good,Nice application,2026-09-11
apple,5,Font size,"Everything good, if the font size able to make big it will fine. 
Thank you",2026-09-11
apple,1,Need Volume in index,"Without volume how a trader can trade efficiently, enable it for seem less trading in single window",2026-09-11
apple,5,Good app. But demands update frequently,App demands update daily is the only problem. Otherwise app is good.,2026-09-11
apple,5,Trading,Best app for all trading and investment needs,2026-09-11
apple,5,Good service,Best,2026-09-11
apple,5,Good,Good,2026-09-11
apple,5,Investors app,Great experience,2026-09-11
apple,5,Good App,Very good app for beginners,2026-09-11
apple,5,Good,Really nice,2026-09-11
apple,1,Harassment,Harassment at the time of payment of Mutual fund Lumpsum.,2026-09-11
apple,5,All good,Essay to use,2026-09-11
apple,5,Groww should GROWW!,"I love the easy, usable way a digital relic like me can manage and navigate to grasp so many diverse ideas and areas to invest and grow my portfolio!!! Cheers. 🥂",2026-09-11
apple,5,Good,Very good,2026-09-11
apple,5,Nice,App,2026-09-11
apple,5,Ahmad,Ahmad,2026-09-11
apple,5,Good,Good for investment,2026-09-11
apple,5,Very nice interface,Shandaar app for all traders,2026-09-11
apple,5,review,"abe laude , macchar ki jhaant, bar bar review mangna band kar madarchooodddd, paise toh ulta minus mai chal rha h , kya lund review du tereko , bhaaaak maaaaaaadarchoood",2026-09-10
apple,4,Ok,Ok,2026-09-10
apple,5,Excellent,Excellent,2026-09-10
apple,2,Flat 5 rs new  Extra Charge,Flat 5 rs new  Extra Charge  for every stock purchase,2026-09-10
apple,1,Worst experience,Pathetic app for investment and pathetic customer service as well. No update on unit allocation even though the date of allocation has passed. And terrible customer service as nobody comes in to help. Just reassigns to a new person in the same chat and nobody bothers to reply,2026-09-10
apple,5,Very good,Awesome,2026-09-10
apple,5,wow,amazing,2026-09-10
apple,5,Good,Good and easy,2026-09-10
apple,5,Grow with Grow App,"Good aap 
Easy Handel",2026-09-10
apple,1,Needs improvement and customer friendly,Such a useless kyc system.,2026-09-10
apple,5,Very Good,Good platform. open a E Commerce Site also.,2026-09-10
apple,5,Best,Good,2026-09-10
apple,5,OSS,One stop solution for your financial management,2026-09-10
apple,5,Good app,Good support,2026-09-10
apple,1,Sip Declined,"On groww when I will do sip it is rejected after 7-8 days dont know why it is happened with 4 different mutual funds, I have raised a ticket but they are not responding worst experience ever, I will not use groww anymore",2026-09-10
apple,5,Good,10/10,2026-09-10
apple,5,Best trading app,Perfect charts and smooth interface for uninterrupted trading,2026-09-10
apple,1,Fraud karta hai,Donot be install,2026-09-10
apple,5,Awesome,Awesome,2026-09-10
apple,5,Very efficient platform,Groww is a very good and efficient platform with good analytical data available.,2026-09-10
apple,1,Very very bab,Only lose,2026-09-10
apple,5,Excellent platform,"It’s a excellent platform 
Simple and easy to use and works well for everyone who needs to work in stock market",2026-09-10
apple,5,Amazing,I love the app. It’s very simple & convenient to use,2026-09-10
apple,5,Best app for Mutual funds,I really like Groww app for Mutual fund. Their UI and quick analysis is good. Also ticket resolution is very prompt. Love the experience,2026-09-10
apple,5,Very good,"Rate of interest high 
Baki bahut achi sab best hai",2026-09-10
apple,5,User Friendly,User Friendly app easily understandable,2026-09-10
apple,5,Lifesaver,This app is so good for long term,2026-09-10
apple,5,The best,The best app,2026-09-09
apple,5,Great app for beginners,"Excellent app for trading middle class and savings , trust me 1 day I wealth will kick you by groww",2026-09-09
apple,5,No. 1,India’s no 1 trading platform. My experience with Groww is outstanding..🫡🙏🏻,2026-09-09
apple,5,Great,Good,2026-09-09
apple,5,Perfect,Good and fast,2026-09-09
apple,5,G App,"If you are a beginner or a long-term investor looking for a clutter-free, hassle-free app to build your wealth, Groww is an exceptional choice. Advanced traders, however, may prefer platforms with heavier charting tools.",2026-09-09
apple,5,Very good,Very good,2026-09-09
apple,5,Smooth,Transaction was as smooth as flow of water,2026-09-09
apple,1,Worst app,"Worst app, they will breach your security and open f&o segment on there without your consent and bsda yes to no without any consent or intimation to user and if complaint is raise they just make you go round and round with no solution and close ticket without any resolution with a thank you, customer care experience is as equal to Instagram fraud sellers if you face any difficulties or have an issue they have no answer",2026-09-09
apple,1,Average,App not user friendly and the dashboard doesn’t display direct total orders,2026-09-09
apple,5,Nice,10,2026-09-09
apple,5,Good experience,User experience is great.,2026-09-09
apple,5,Very Good App,Good online platform for traders,2026-09-09
apple,5,Singh,Good,2026-09-09
apple,4,Nice,Very nice app,2026-09-09
apple,5,H,H,2026-09-09
apple,5,Maharaja,I am using Grow app for 3 years and I am fully satisfied.God bless Grow. Tum jug jug jio Maharaja,2026-09-09
apple,5,Hitha Janaki,"Thank you so much Universe! 
Thank you God !
Thank you Groww !💝😘",2026-09-09
apple,5,Easy to operate,Nice investment app,2026-09-09
apple,5,Growth,Groww means Growth,2026-09-09
